fly	fname	condition	segment	location	fraction
14	flytrax20181211_192052.csv	non-rewarded	post-stim	at_fictive_reward	0.0
15	flytrax20181212_193040.csv	non-rewarded	after_relocation	at_fictive_reward	0.002013693113169553
15	flytrax20181212_193040.csv	non-rewarded	baseline	at_fictive_reward	0.006500290191526407
15	flytrax20181212_193040.csv	non-rewarded	relocation	at_fictive_reward	0.0
15	flytrax20181212_193040.csv	non-rewarded	stimulation	at_fictive_reward	0.9615384615384616
15	flytrax20181212_193040.csv	non-rewarded	post-stim	at_fictive_reward	0.0
16	flytrax20181214_174232.csv	rewarded	after_relocation	at_fictive_reward	0.0028005974607916355
16	flytrax20181214_174232.csv	rewarded	baseline	at_fictive_reward	0.006416040100250628
16	flytrax20181214_174232.csv	rewarded	relocation	at_fictive_reward	0.0
16	flytrax20181214_174232.csv	rewarded	stimulation	at_fictive_reward	0.39698836413415467
16	flytrax20181214_174232.csv	rewarded	post-stim	at_fictive_reward	0.3807266982622433
17	flytrax20181217_192137.csv	non-rewarded	after_relocation	at_fictive_reward	0.019109535066981875
17	flytrax20181217_192137.csv	non-rewarded	baseline	at_fictive_reward	0.02094484524086572
17	flytrax20181217_192137.csv	non-rewarded	relocation	at_fictive_reward	0.0
17	flytrax20181217_192137.csv	non-rewarded	stimulation	at_fictive_reward	0.6666666666666666
17	flytrax20181217_192137.csv	non-rewarded	post-stim	at_fictive_reward	0.0
18	flytrax20181218_164433.csv	non-rewarded	after_relocation	at_fictive_reward	0.01059696220416814
18	flytrax20181218_164433.csv	non-rewarded	baseline	at_fictive_reward	0.008877319450006674
18	flytrax20181218_164433.csv	non-rewarded	relocation	at_fictive_reward	0.0
18	flytrax20181218_164433.csv	non-rewarded	stimulation	at_fictive_reward	1.0
18	flytrax20181218_164433.csv	non-rewarded	post-stim	at_fictive_reward	0.0
19	flytrax20181218_175537.csv	non-rewarded	after_relocation	at_fictive_reward	0.010181190681622088
19	flytrax20181218_175537.csv	non-rewarded	baseline	at_fictive_reward	0.0
19	flytrax20181218_175537.csv	non-rewarded	relocation	at_fictive_reward	0.0
19	flytrax20181218_175537.csv	non-rewarded	stimulation	at_fictive_reward	0.75
