at_center	at_fictive_reward	at_reward	condition	cum_dist_seg_cm	fly	fname	segment	tseg
0.0	0.0	0.0074700216237468045	non-rewarded	489.97676019104966	26	flytrax20190111_164022.csv	after_relocation	511.06259965896606
0.0	0.0	0.0	non-rewarded	394.2855293405989	26	flytrax20190111_164022.csv	baseline	421.40300059318537
0.0	0.0	0.0	non-rewarded	9.747283980489883	26	flytrax20190111_164022.csv	relocation	1.104600429534912
0.0	0.9444444444444444	0.9444444444444444	non-rewarded	3.3567628356619537	26	flytrax20190111_164022.csv	stimulation	3.4972000122070312
0.0	0.0	0.0	non-rewarded	87.60028193815225	26	flytrax20190111_164022.csv	post-stim	87.69980025291443
0.003854239663629993	0.0	0.013489838822704976	non-rewarded	677.3889883112954	27	flytrax20190111_172208.csv	after_relocation	593.7625999450684
0.0	0.0180778739184178	0.0180778739184178	non-rewarded	733.6119799732503	27	flytrax20190111_172208.csv	baseline	672.3005001544952
0.5	0.0	0.0	non-rewarded	7.2297946533943795	27	flytrax20190111_172208.csv	relocation	1.2969002723693848
0.0	0.9523809523809524	0.9523809523809524	non-rewarded	3.4641589883696287	27	flytrax20190111_172208.csv	stimulation	2.0
0.0	0.0	0.0	non-rewarded	5.890795580803004	27	flytrax20190111_172208.csv	post-stim	4.804299354553223
0.01983794355965354	0.007544006705783738	0.02570550433081866	rewarded	455.5348451320897	28	flytrax20190111_190138.csv	after_relocation	359.5780000686645
0.04174950298210736	0.0	0.0	rewarded	178.25369532337123	28	flytrax20190111_190138.csv	baseline	150.8061001300812
0.35714285714285715	0.0	0.0	rewarded	9.397427743025943	28	flytrax20190111_190138.csv	relocation	1.2965998649597168
0.0	0.5070555032925682	0.5070555032925682	rewarded	123.9584226516939	28	flytrax20190111_190138.csv	stimulation	106.19340014457704
0.0	0.3723502304147465	0.3723502304147465	rewarded	133.90438472677195	28	flytrax20190111_190138.csv	post-stim	108.40370011329651
0.001323918799646955	0.016107678729037952	0.0	rewarded	523.7808114479043	29	flytrax20190111_192056.csv	after_relocation	469.2831661701202
0.06358199559332704	0.025810513062637708	0.025810513062637708	rewarded	355.1037090178894	29	flytrax20190111_192056.csv	baseline	324.5056002140045
0.5454545454545454	0.0	0.0	rewarded	7.119418724485117	29	flytrax20190111_192056.csv	relocation	2.1006007194519043
0.0	0.7330827067669173	0.7330827067669173	rewarded	87.1389343637081	29	flytrax20190111_192056.csv	stimulation	79.69989943504332
0.0	0.2332814930015552	0.2332814930015552	rewarded	110.70360851100912	29	flytrax20190111_192056.csv	post-stim	128.4946007728577
0.0012484394506866415	0.03442125914036026	0.016408061351881578	rewarded	475.8551821691384	30	flytrax20190116_152245.csv	after_relocation	563.5960748195647
0.0006370238246910433	0.0	0.0	rewarded	605.9867865738972	30	flytrax20190116_152245.csv	baseline	784.8036994934082
0.0	0.0	0.0	rewarded	5.456105733412117	30	flytrax20190116_152245.csv	relocation	1.095799684524536
0.0	0.4577191621411947	0.4577191621411947	rewarded	80.99431508218288	30	flytrax20190116_152245.csv	stimulation	128.7955002784729
0.0	0.1875	0.1875	rewarded	30.06491650746473	30	flytrax20190116_152245.csv	post-stim	35.10599994659424
0.009193408499566348	0.015264527320034691	0.0	non-rewarded	543.9857512523786	31	flytrax20190116_160702.csv	after_relocation	581.8774998188019
0.0	0.0	0.0	non-rewarded	527.5221439462858	31	flytrax20190116_160702.csv	baseline	628.5009000301361
0.0	0.0	0.0	non-rewarded	6.330100435203838	31	flytrax20190116_160702.csv	relocation	0.7037999629974365
