cum_dist,t,timestamp,frame,x_px,y_px,led_1
3880.0,518.3000000000001,1543940288.983,43591345.75,450.32500000000005,81.64999999999999,0.0
3884.0,518.4,1543940289.0835,43591355.75,446.84999999999997,84.725,0.0
3886.0,518.5,1543940289.1765556,43591365.0,446.19999999999993,87.01111111111112,0.0
3890.0,518.6,1543940289.2770002,43591375.0,447.23636363636365,89.64545454545454,0.0
3892.0,518.7,1543940289.3775558,43591385.0,445.5222222222222,90.90000000000002,0.0
3894.0,518.8000000000001,1543940289.4732997,43591394.5,443.00999999999993,91.19,0.0
3896.0,518.9,1543940289.5735,43591404.5,440.35,90.81,0.0
3898.0,519.0,1543940289.6739998,43591414.5,438.86,90.51,0.0
3900.0,519.1,1543940289.7744997,43591424.5,438.15999999999997,92.63000000000001,0.0
3904.0,519.2,1543940289.875,43591434.5,437.5,95.34,0.0
3906.0,519.3000000000001,1543940289.9755998,43591444.5,435.80999999999995,98.14000000000001,0.0
3910.0,519.4,1543940290.0759997,43591454.5,433.73999999999995,100.4,0.0
3912.0,519.55,1543940290.22685,43591469.5,431.655,100.98,0.0
3914.0,519.7,1543940290.3777,43591484.5,430.62000000000006,98.92999999999999,0.0
3916.0,519.8000000000001,1543940290.4782,43591494.5,429.93,97.54,0.0
3918.0,519.9,1543940290.5788999,43591504.5,427.98,97.19000000000001,0.0
3920.0,520.0,1543940290.6790001,43591514.5,427.49000000000007,98.46,0.0
3922.0,520.1,1543940290.7796001,43591524.5,429.23999999999995,100.9,0.0
3926.0,520.2,1543940290.8799999,43591534.5,431.16,102.71,0.0
3928.0,520.3000000000001,1543940290.9807003,43591544.5,433.11,104.64000000000001,0.0
3932.0,520.4,1543940291.081,43591554.5,434.92999999999995,107.66,0.0
3934.0,520.5,1543940291.1764445,43591564.0,435.5444444444445,110.04444444444444,0.0
3936.0,520.6,1543940291.2770002,43591574.0,435.55454545454546,112.84545454545454,0.0
3940.0,520.7,1543940291.3775558,43591584.0,434.94444444444446,115.61111111111111,0.0
3942.0,520.8000000000001,1543940291.473,43591593.5,434.28000000000003,118.6,0.0
3946.0,520.9,1543940291.5735,43591603.5,433.21000000000004,121.01000000000002,0.0
3948.0,521.0,1543940291.6739998,43591613.5,431.55,123.61000000000001,0.0
3952.0,521.1,1543940291.7746,43591623.5,429.01000000000005,125.22999999999999,0.0
3954.0,521.2,1543940291.875,43591633.5,426.43,126.37000000000003,0.0
3956.0,521.3000000000001,1543940291.9755998,43591643.5,423.68999999999994,126.91999999999999,0.0
3960.0,521.4,1543940292.0759997,43591653.5,420.84000000000003,127.3,0.0
3962.0,521.5,1543940292.1766,43591663.5,418.15,127.55,0.0
3964.0,521.6,1543940292.277,43591673.5,416.43999999999994,128.73000000000002,0.0
3966.0,521.7,1543940292.3776002,43591683.5,414.96000000000004,130.72,0.0
3968.0,521.8000000000001,1543940292.478,43591693.5,414.16999999999996,131.66000000000003,0.0
3970.0,521.9,1543940292.5807145,43591703.71428572,415.80000000000007,132.92857142857142,0.0
3974.0,522.05,1543940292.72935,43591718.5,417.46500000000003,135.60000000000002,0.0
3978.0,522.2,1543940292.8799999,43591733.5,420.39000000000004,136.65000000000003,0.0
3980.0,522.3000000000001,1543940292.977889,43591743.222222224,422.32222222222225,138.6222222222222,0.0
3982.0,522.4,1543940293.081,43591753.5,422.85,137.225,0.0
3984.0,522.5,1543940293.1766667,43591763.0,422.9555555555555,139.0222222222222,0.0
3986.0,522.6,1543940293.2770002,43591773.0,423.01818181818186,142.33636363636361,0.0
3990.0,522.75,1543940293.425389,43591787.75,421.1694444444445,145.26111111111112,0.0
3992.0,522.9,1543940293.5737002,43591802.5,419.0,146.96999999999997,0.0
3994.0,523.0,1543940293.6739998,43591812.5,417.5,148.32999999999998,0.0
3998.0,523.1,1543940293.7747,43591822.5,416.15,150.06,0.0
4000.0,523.2,1543940293.8752,43591832.5,415.44000000000005,152.52000000000004,0.0
4002.0,523.3000000000001,1543940293.9757,43591842.5,415.07,155.37000000000003,0.0
4006.0,523.4,1543940294.0760999,43591852.5,415.32,158.04000000000002,0.0
4008.0,523.5,1543940294.1767,43591862.5,416.0299999999999,160.73,0.0
4010.0,523.6,1543940294.277,43591872.5,416.59,163.56,0.0
4014.0,523.7,1543940294.3777,43591882.5,417.63,166.20999999999998,0.0
4016.0,523.8000000000001,1543940294.478,43591892.5,418.88,168.66,0.0
4020.0,523.9,1543940294.5788999,43591902.5,420.18,171.1,0.0
4022.0,524.0,1543940294.6792004,43591912.5,421.68999999999994,172.78000000000003,0.0
4024.0,524.1,1543940294.7798002,43591922.5,423.34000000000003,174.32,0.0
4026.0,524.2,1543940294.8799999,43591932.5,424.31000000000006,175.98999999999998,0.0
4028.0,524.3000000000001,1543940294.9808002,43591942.5,423.4200000000001,177.57,0.0
4030.0,524.4,1543940295.081,43591952.5,421.4,178.53,0.0
4032.0,524.5,1543940295.1767778,43591962.0,419.28888888888895,179.15555555555554,0.0
4034.0,524.6,1543940295.2770002,43591972.0,417.0,179.25454545454545,0.0
4036.0,524.7,1543940295.377889,43591982.0,414.5444444444445,179.61111111111114,0.0
4040.0,524.8000000000001,1543940295.473,43591991.5,412.28000000000003,180.44,0.0
4042.0,524.9,1543940295.5737002,43592001.5,409.9,181.59,0.0
4044.0,525.0,1543940295.6739998,43592011.5,407.64,182.91,0.0
4048.0,525.1,1543940295.7747,43592021.5,405.40999999999997,184.42000000000002,0.0
4050.0,525.2,1543940295.875,43592031.5,403.66999999999996,186.31,0.0
4052.0,525.3000000000001,1543940295.9757,43592041.5,402.24000000000007,188.64,0.0
4056.0,525.4,1543940296.0759997,43592051.5,400.86,191.07,0.0
4058.0,525.5,1543940296.1768,43592061.5,399.03999999999996,192.94,0.0
4060.0,525.6,1543940296.2771,43592071.5,396.84000000000003,194.47,0.0
4064.0,525.7,1543940296.3779998,43592081.5,394.28999999999996,195.73,0.0
4066.0,525.8000000000001,1543940296.478,43592091.5,391.7,197.16000000000003,0.0
4070.0,525.9,1543940296.5788,43592101.5,389.14,198.41,0.0
4072.0,526.0,1543940296.6790001,43592111.5,386.62,199.44,0.0
4074.0,526.1,1543940296.7800002,43592121.5,384.08,200.21000000000004,0.0
4078.0,526.2,1543940296.8799999,43592131.5,381.4800000000001,200.42000000000002,0.0
4080.0,526.3000000000001,1543940296.9808002,43592141.5,378.84,200.24,0.0
4082.0,526.4,1543940297.081,43592151.5,376.4,199.89000000000001,0.0
4084.0,526.5,1543940297.1767778,43592161.0,373.9777777777778,199.63333333333333,0.0
